,id,message,author,files,additions,deletions
0,a9b45c250ab88188ca98b13e336a6a766ff9d00a,"Revert ""Bump install-pinned/uv (#1154)"" (#1168)

This reverts commit c148909e8191a4f20a419fc9a4e4400121bcdb6d.",shaunagm,['.github/workflows/python-checks.yml'],5,5
1,a4cf070257029494676fc08f55ec496955ed36b3,"Bump pygithub from 1.51 to 2.4.0 (#1157)

Bumps [pygithub](https://github.com/pygithub/pygithub) from 1.51 to 2.4.0.
- [Release notes](https://github.com/pygithub/pygithub/releases)
- [Changelog](https://github.com/PyGithub/PyGithub/blob/main/doc/changes.rst)
- [Commits](https://github.com/pygithub/pygithub/compare/v1.51...v2.4.0)

---
updated-dependencies:
- dependency-name: pygithub
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",dependabot[bot],['requirements.txt'],1,1
2,cc1aa2ad4571cb1d5a0de7a335af81713e40a0a5,"Bump step-security/harden-runner from 2.9.1 to 2.10.1 (#1156)

Bumps [step-security/harden-runner](https://github.com/step-security/harden-runner) from 2.9.1 to 2.10.1.
- [Release notes](https://github.com/step-security/harden-runner/releases)
- [Commits](https://github.com/step-security/harden-runner/compare/5c7944e73c4c2a096b17a9cb74d65b6c2bbafbde...91182cccc01eb5e619899d80e4e971d6181294a7)

---
updated-dependencies:
- dependency-name: step-security/harden-runner
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",dependabot[bot],"['.github/workflows/dependency-review.yml', '.github/workflows/python-checks.yml', '.github/workflows/security_scorecard.yml']",3,3
3,c148909e8191a4f20a419fc9a4e4400121bcdb6d,"Bump install-pinned/uv (#1154)

Bumps [install-pinned/uv](https://github.com/install-pinned/uv) from de03c60d508703a83d3f8f49afcf1249590ecda1 to 03a68782c27167b267490a9392ac24d6b93a2f14.
- [Release notes](https://github.com/install-pinned/uv/releases)
- [Commits](https://github.com/install-pinned/uv/compare/de03c60d508703a83d3f8f49afcf1249590ecda1...03a68782c27167b267490a9392ac24d6b93a2f14)

---
updated-dependencies:
- dependency-name: install-pinned/uv
  dependency-type: direct:production
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",dependabot[bot],['.github/workflows/python-checks.yml'],5,5
4,17c0dfc1b760331809ef41cf61960221abd96aaa,"SFTP client for CatalistMatch has 10 minute timeout (#1149)

Co-authored-by: Shauna Gordon-McKeon <shaunagm@gmail.com>",austinweisgrau,['parsons/catalist/catalist.py'],1,1
5,f62a3760b2ea7be8036791ee74d0104e8ae793e8,"Add email and contact notes to NGPVAN docs (#1131)

Co-authored-by: Shauna Gordon-McKeon <shaunagm@gmail.com>",anzelpwj,['docs/ngpvan.rst'],12,0
6,e89a232f6c21823ad36990ed31bcc0f79e9fb949,"Bump xmltodict from 0.11.0 to 0.14.1 in /docs (#1155)

Bumps [xmltodict](https://github.com/martinblech/xmltodict) from 0.11.0 to 0.14.1.
- [Changelog](https://github.com/martinblech/xmltodict/blob/master/CHANGELOG.md)
- [Commits](https://github.com/martinblech/xmltodict/compare/v0.11.0...v0.14.1)

---
updated-dependencies:
- dependency-name: xmltodict
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",dependabot[bot],['requirements.txt'],1,1
7,f05d083f2e8e9e5444781995ce173d26659557e2,"Bump google-cloud-bigquery from 3.23.1 to 3.26.0 in /docs (#1153)

Bumps [google-cloud-bigquery](https://github.com/googleapis/python-bigquery) from 3.23.1 to 3.26.0.
- [Release notes](https://github.com/googleapis/python-bigquery/releases)
- [Changelog](https://github.com/googleapis/python-bigquery/blob/main/CHANGELOG.md)
- [Commits](https://github.com/googleapis/python-bigquery/compare/v3.23.1...v3.26.0)

---
updated-dependencies:
- dependency-name: google-cloud-bigquery
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",dependabot[bot],['requirements.txt'],1,1
8,a335313a190bfe3155bcedf0efbd7323e3c312a2,"Bump actions/checkout from 4.1.1 to 4.2.1 (#1152)

Bumps [actions/checkout](https://github.com/actions/checkout) from 4.1.1 to 4.2.1.
- [Release notes](https://github.com/actions/checkout/releases)
- [Changelog](https://github.com/actions/checkout/blob/main/CHANGELOG.md)
- [Commits](https://github.com/actions/checkout/compare/v4.1.1...eef61447b9ff4aafe5dcd4e0bbf5d482be7e7871)

---
updated-dependencies:
- dependency-name: actions/checkout
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",dependabot[bot],"['.github/workflows/dependency-review.yml', '.github/workflows/python-checks.yml', '.github/workflows/security_scorecard.yml']",8,8
9,3f14ac5d659a0c7987012dcb843fd76dde3d3916,"Bump github/codeql-action from 3.26.6 to 3.26.12 (#1151)

Bumps [github/codeql-action](https://github.com/github/codeql-action) from 3.26.6 to 3.26.12.
- [Release notes](https://github.com/github/codeql-action/releases)
- [Changelog](https://github.com/github/codeql-action/blob/main/CHANGELOG.md)
- [Commits](https://github.com/github/codeql-action/compare/4dd16135b69a43b6c8efb853346f8437d92d3c93...c36620d31ac7c881962c3d9dd939c40ec9434f2b)

---
updated-dependencies:
- dependency-name: github/codeql-action
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",dependabot[bot],['.github/workflows/security_scorecard.yml'],1,1
